ROLE|TDTYPE
MANAGEMENT|DOCUMENTAÇÃO
MANAGEMENT|ARQUITETURA
TECHNICAL|ARQUITETURA
MANAGEMENT|PROJETO
TECHNICAL|DESIGN DEBT
ARCHITECT|PROCESS DEBT
ARCHITECT|CODE DEBT
TECHNICAL|DOCUMENTATION DEBT
TECHNICAL|REQUIREMENTS DEBT
TECHNICAL|TEST DEBT
MANAGEMENT|DOCUMENTATION DEBT
TECHNICAL|DOCUMENTATION DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|TEST DEBT
TECHNICAL|DESIGN DEBT
ARCHITECT|NOT APPLICABLE
TECHNICAL|REQUIREMENTS DEBT
MANAGEMENT|TEST DEBT
TECHNICAL|DESIGN DEBT
ARCHITECT|REQUIREMENTS DEBT
ARCHITECT|PEOPLE DEBT
TECHNICAL|PEOPLE DEBT
MANAGEMENT|TEST DEBT
MANAGEMENT|ARCHITECTURE DEBT
MANAGEMENT|NOT APPLICABLE
TECHNICAL|INFRASTRUCTURE DEBT
TECHNICAL|INFRASTRUCTURE DEBT
ARCHITECT|DESIGN DEBT
TECHNICAL|DESIGN DEBT
ARCHITECT|DESIGN DEBT
TECHNICAL|DOCUMENTATION DEBT
TECHNICAL|ARCHITECTURE DEBT
TECHNICAL|REQUIREMENTS DEBT
TECHNICAL|TEST DEBT
TECHNICAL|SERVIDE DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|TEST DEBT
TECHNICAL|REQUIREMENTS DEBT
TECHNICAL|PROCESS DEBT
TECHNICAL|PEOPLE DEBT
MANAGEMENT|REQUIREMENTS DEBT
MANAGEMENT|TEST DEBT
ARCHITECT|DESIGN DEBT
ARCHITECT|ARCHITECTURE DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|TEST DEBT
ARCHITECT|INFRASTRUCTURE DEBT
TECHNICAL|TEST DEBT
TECHNICAL|DOCUMENTATION DEBT
TECHNICAL|DOCUMENTATION DEBT
TECHNICAL|PROCESS DEBT
MANAGEMENT|CODE DEBT
TECHNICAL|DESIGN DEBT
MANAGEMENT|NOT APPLICABLE
MANAGEMENT|DESIGN DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|DOCUMENTATION DEBT
